agency,id,lat,lon,name
GIR,37805,45.108230,-0.342997,LARUSCADE - Foyer Communal
GIR,37815,45.135040,-0.658572,BLAYE - Hôpital
GIR,37825,45.136677,-0.656349,BLAYE - Colinet
GIR,37822,45.146152,-0.643765,ST MARTIN L. - Bourg
GIR,37819,45.155876,-0.647303,ST GENES DE B. - La Croix
GIR,37816,45.162650,-0.643717,ST GENES DE B. - Les Ecoles
GIR,37821,45.182070,-0.641520,ST ANDRONY - La Riade
GIR,37814,45.189884,-0.645563,ST ANDRONY - Guillot
GIR,37817,45.195540,-0.642531,ANGLADE - Le Bouil
GIR,37820,45.211940,-0.636313,ANGLADE - Bourg
GIR,37823,45.247276,-0.625928,BRAUD ST LOUIS - Bourg
GIR,37826,45.261500,-0.621109,BRAUD ST LOUIS - Les Alains
GIR,37818,45.273876,-0.616427,ST CIERS SUR G. - Les Ferrés
GIR,37813,45.284890,-0.609346,ST CIERS SUR G. - Chauvrelles
GIR,37824,45.291510,-0.611191,ST CIERS SUR G. - Eglise
GIR,37841,45.160652,-0.622684,ST SEURIN DE CUR. - Bourg
GIR,37827,45.184563,-0.605227,EYRANS - La Clairière
GIR,37842,45.189090,-0.602996,EYRANS - Le Pontet
GIR,37830,45.196310,-0.593901,CARTELEGUE - Bel Ormeau
GIR,37829,45.224480,-0.573077,ETAULIERS - Mairie
GIR,37828,45.230705,-0.567576,ETAULIERS - Rés. la Pinède
GIR,37838,45.252860,-0.565014,ST AUBIN BL. - Pas des Fenêtres
GIR,37836,45.267216,-0.560331,ST AUBIN BL. - Bourg
GIR,37835,45.265533,-0.572367,ST AUBIN BL. - Champ des Chailles
GIR,37832,45.273760,-0.593189,ST CIERS SUR G. - Les Renauds
GIR,37834,45.281284,-0.600121,ST CIERS SUR G. - Les Michenauds
GIR,37833,45.290290,-0.607340,ST CIERS SUR G. - Rue R. Bourda
GIR,37831,45.292007,-0.608054,ST CIERS SUR G. - Pl. Maronniers
GIR,37839,45.310160,-0.596157,ST PALAIS - Les Mongeais
GIR,37837,45.314175,-0.591264,ST PALAIS - Bourg
GIR,37840,45.331432,-0.593916,PLEINE SELVE - Chez Pidoux
GIR,37857,44.903030,-0.484080,STE EULALIE - Le Marquisat
GIR,37858,44.907093,-0.475205,STE EULALIE - Maurel
GIR,37856,44.908432,-0.471339,STE EULALIE - Centre
GIR,37879,44.912170,-0.474780,STE EULALIE - Loume
GIR,37876,44.917210,-0.476572,STE EULALIE - L'Argentière
GIR,37872,44.922783,-0.464870,AMBARES - La Ricodonne
GIR,37859,44.920956,-0.451982,ST LOUBES - ZI de la Lande
GIR,37878,44.919470,-0.439366,ST LOUBES - Jean Videau
GIR,37880,44.917183,-0.428819,ST LOUBES - Bourg
GIR,37861,44.915740,-0.420383,ST LOUBES - L'Olivey
GIR,37860,44.915062,-0.416643,ST LOUBES - Les Graves
GIR,37874,44.913277,-0.403974,ST SULPICE ET C. - Quantin
GIR,37873,44.913216,-0.395638,ST SULPICE ET C. - La Poste
GIR,37875,44.915085,-0.388871,ST SULPICE ET C. - Le Ribet
GIR,37854,44.920240,-0.370857,IZON - Maucaillou
GIR,37849,44.920887,-0.365737,IZON - Eglise
GIR,37851,44.919567,-0.358678,IZON - Ecole
GIR,37852,44.917065,-0.348954,IZON - Le Pin
GIR,37853,44.914997,-0.340620,IZON - Graney
GIR,37869,44.911300,-0.326019,VAYRES - Le Paradis
GIR,37871,44.908157,-0.323691,VAYRES - Les Placettes
GIR,37868,44.902355,-0.322422,VAYRES - Gare TER
GIR,37866,44.898680,-0.320331,VAYRES - Nioton
GIR,37870,44.897423,-0.316451,VAYRES - Bourg
GIR,37862,44.896343,-0.313753,VAYRES - La Pompe
GIR,37865,44.889023,-0.308433,VAYRES - Segransan
GIR,37867,44.884438,-0.285727,ARVEYRES - Bourg RN89
GIR,37863,44.894720,-0.274080,ARVEYRES - Maison Neuve
GIR,37864,44.911148,-0.256588,ARVEYRES - Port du Noyer
GIR,37855,44.912490,-0.247244,LIBOURNE - Pl. Lattre de Tassigny
GIR,37850,44.911240,-0.243305,LIBOURNE - Crs des Girondins
GIR,37877,44.914870,-0.237262,LIBOURNE - Gare Routière
GIR,37894,44.867466,-0.507001,Kennedy
GIR,37884,44.867363,-0.471182,ARTIGUES BX - Le Flaman
GIR,37886,44.865475,-0.472301,ARTIGUES BX - Av. du Périgord
GIR,37888,44.864662,-0.459854,TRESSES - Lauduc
GIR,37893,44.865170,-0.454145,POMPIGNAC - Rivasseau
GIR,37891,44.868156,-0.443972,POMPIGNAC - Gachet
GIR,37892,44.872223,-0.431430,MONTUSSAN - Lalande
GIR,37887,44.878902,-0.427351,MONTUSSAN - Av. de Verdun
GIR,37889,44.878510,-0.424176,MONTUSSAN - Rue de la Chaise
GIR,37890,44.879100,-0.415394,MONTUSSAN - Rue des Chênes
GIR,37883,44.874535,-0.396682,BEYCHAC - Beychac
GIR,37881,44.877605,-0.376341,BEYCHAC - L'Intendant
GIR,37885,44.881530,-0.343082,VAYRES - Grand Cazau
GIR,37895,44.882750,-0.310778,VAYRES - Senau
GIR,34894,44.843853,-0.573905,Pôle d'Echanges Quinconces
GIR,37882,44.896072,-0.155554,ST EMILION - Bourg
GIR,36985,44.867245,-0.496605,La Prairie
GIR,37899,44.866410,-0.490253,ARTIGUES BX - Cimetière
GIR,37324,44.865482,-0.473736,Le Poteau
GIR,37908,44.880745,-0.462045,YVRAC - Bourg
GIR,37907,44.878937,-0.457824,YVRAC - La Clé des Champs
GIR,37898,44.877980,-0.451133,YVRAC - Av. La Chapelle
GIR,37906,44.879020,-0.444105,MONTUSSAN - Route d'Yvrac
GIR,37909,44.879456,-0.435969,MONTUSSAN - Cournau
GIR,37904,44.882015,-0.429111,MONTUSSAN - Eglise
GIR,37902,44.879013,-0.426789,MONTUSSAN - Rue de la Chaise
GIR,37903,44.878350,-0.418378,MONTUSSAN - Allée des Oiseaux
GIR,37905,44.881980,-0.401958,BEYCHAC - Les Hauts de Beychac
GIR,37900,44.876580,-0.396806,BEYCHAC - Rte de Lartigue
GIR,37896,44.875492,-0.376195,BEYCHAC - La Lande de Bertin
GIR,37897,44.870540,-0.371596,BEYCHAC - Mairie
GIR,37911,44.917270,-0.240527,LIBOURNE - Lyc. M. Linder
GIR,37928,44.919690,-0.246175,FRONSAC - Loiseau
GIR,37916,44.923958,-0.271811,FRONSAC - Bourg
GIR,37918,44.923065,-0.287509,FRONSAC - La Marche
GIR,37915,44.925518,-0.301206,ST MICHEL DE F. - Naudin
GIR,37913,44.929650,-0.303739,ST MICHEL DE F. - La Poste
GIR,37912,44.932880,-0.307938,LA RIVIERE - Bourg
GIR,37910,44.937170,-0.314812,LA RIVIERE - Ecoles
GIR,37926,44.946390,-0.326091,ST GERMAIN LA R. - Roque de Bas
GIR,37927,44.950993,-0.333392,ST GERMAIN LA R. - Bourg
GIR,37924,44.954605,-0.345461,LUGON - Le Gabaron
GIR,37922,44.957626,-0.352104,LUGON - Bos Gramont
GIR,37920,44.966990,-0.372952,CADILLAC EN F. - Bourg
GIR,37917,44.971867,-0.383822,LA LANDE DE F. - La Gare
GIR,37923,44.981760,-0.378038,LA LANDE DE F. - Salle des fêtes
GIR,37925,44.975998,-0.393093,LA LANDE DE F. - Mouluire
GIR,37919,44.982690,-0.408105,ST ANDRE C. - La Lagune
GIR,37921,44.990486,-0.424453,ST ANDRE C. - Aire du Peyrat
GIR,37914,44.992527,-0.431476,ST ANDRE C. - Pont de Loze
GIR,37953,44.920036,-0.230137,LIBOURNE - Hôpital Boulin
GIR,37962,44.923428,-0.207938,POMEROL - Catusseau Bourg
GIR,37963,44.931293,-0.190219,POMEROL - Gazin
GIR,37952,44.939910,-0.178763,NEAC - La Croix de St André
GIR,37951,44.942950,-0.171878,NEAC - Siaurac
GIR,37950,44.948520,-0.158000,NEAC - Bertineau
GIR,37942,44.950790,-0.149098,MONTAGNE - Les Landes
GIR,37934,44.960990,-0.151976,ARTIGUES DE L. - Colas Nouet
GIR,37932,44.966213,-0.148580,ARTIGUES DE L. - Moulin Gaillard
GIR,37958,44.971690,-0.140068,ARTIGUES DE L. - Bourg
GIR,37957,44.975655,-0.133254,ARTIGUES DE L. - Les Grands Jays
GIR,37930,44.977520,-0.129789,ARTIGUES DE L. - Les Grands Jays
GIR,37929,44.980713,-0.120386,ARTIGUES DE L. - Grézard
GIR,37938,44.971615,-0.107906,LUSSAC - Malydure
GIR,37965,44.962215,-0.102346,LUSSAC - Le Cros
GIR,37939,44.954662,-0.099246,LUSSAC - Guimberteau
GIR,37949,44.950603,-0.096776,LUSSAC - Bourg
GIR,37940,44.955044,-0.093231,LUSSAC - Normand
GIR,37941,44.963173,-0.087723,LUSSAC - Terrien Bourdil
GIR,37943,44.969630,-0.088795,LUSSAC - Jamard
GIR,37964,44.975030,-0.090284,LUSSAC - Mayne Blanc
GIR,37961,44.979244,-0.091352,LUSSAC - Bel Air
GIR,37945,44.983696,-0.087193,LUSSAC - Les Martins
GIR,37954,44.984490,-0.078527,PETIT PALAIS - La Margagne
GIR,37955,44.981300,-0.070631,PETIT PALAIS - Sorillon
GIR,37956,44.981440,-0.064500,PETIT PALAIS - Mairie
GIR,37946,44.980140,-0.036409,PETIT PALAIS - Cornemps
GIR,37959,44.982525,-0.002242,PUYNORMAND - Eglise
GIR,37960,44.983974,0.004833,PUYNORMAND - Villatte
GIR,37944,44.992240,0.017169,GOURS - Le Meillac
GIR,37947,44.992428,0.020837,GOURS - Eglise
GIR,37948,44.988945,0.024059,GOURS - Bétoule
GIR,37931,44.979195,0.037565,MINZAC - La Chevalerie
GIR,37933,44.971733,0.038037,MINZAC - Bourg
GIR,37935,44.964367,0.047290,MINZAC - Le Grand Maine
GIR,37936,44.949608,0.055891,VILLEFRANCHE DE L. - Petit Maine
GIR,37937,44.947773,0.056049,VILLEFRANCHE DE L. - Bourg
GIR,37976,44.924614,-0.193809,POMEROL - La Pointe de l'Evangile
GIR,37968,44.925358,-0.189541,ST EMILION - La Dominique
GIR,37967,44.922950,-0.177037,ST EMILION - Corbin
GIR,37966,44.924810,-0.167779,ST EMILION - Le Jura
GIR,37982,44.929180,-0.162177,MONTAGNE - Plaisance
GIR,37984,44.930330,-0.158775,MONTAGNE - Maison Blanche
GIR,37985,44.931328,-0.146861,MONTAGNE - St Georges
GIR,37970,44.935547,-0.137845,MONTAGNE - Bertin
GIR,37971,44.933887,-0.130936,MONTAGNE - Beauséjour
GIR,37972,44.930336,-0.129320,MONTAGNE - Bourg
GIR,37978,44.934940,-0.126313,MONTAGNE - Les Arriails
GIR,37974,44.937540,-0.122368,MONTAGNE - Mirande
GIR,37980,44.941810,-0.116733,MONTAGNE - Baudron
GIR,37981,44.949066,-0.108995,LUSSAC - Le Rival
GIR,37983,44.949690,-0.099471,LUSSAC - Collège
GIR,37969,44.947150,-0.084343,LUSSAC - Blanchon
GIR,37986,44.945175,-0.073523,LUSSAC - Roques
GIR,37973,44.936356,-0.071817,PUISSEGUIN - Cave Coopérative
GIR,37979,44.930050,-0.077465,PUISSEGUIN - Longues Règes
